clip,reference,kanji,kana,hybrid
BASIC5000_0118,kyooshiwaseetogashikendekanninguoshiteerunoomitsuketa,kyooshiwaseetogashikendeoshiteerunoomitsuketa,kyooshihaseetogashikendekanninoshiteerunoomitsuketa,kyooshiwaseetogashikendeoshiteerunoomitsuketa
BASIC5000_0119,techoonionamaeokaiteetadakemasenka,techoonionamaeokaiteetadakemasenka,techoonionamaeokaiteetadakemasenka,techoonionamaeokaiteetadakemasenka
BASIC5000_0120,koochoowasotsugyooseehitorihitoritoakushuoshita,koochoowasotsugyooseehitorihitoritoakushuoshita,hatooshita,koochoowasotsugyooseehitorihitoritoakushuoshita
BASIC5000_0121,yamadakunwajibunnobosunitaisuruikarioosaeyoototsutometa,yamadakunwajibunnobosunitaisuruikarioosaeyoototsutometa,yamadakunhajibunnobosunitaisuruikarioosaeyoototsutometa,yamadakunwajibunnobosunitaisuruikarioosaeyoototsutometa
BASIC5000_0122,enpitsuwaichidaasutanideurareteeru,enpitsuwadaasutanideurareteeru,enpitsuhaichidaasutanideurareteeru,enpitsuwadaasutanideurareteeru
BASIC5000_0123,tatakaiwatsuyoimonogakatsutowakagiranai,tatakaiwatsuyoimonogakatsutowakagiranai,tatakaihatsuyoimonogakatsutohakagiranai,tatakaiwatsuyoimonogakatsutowakagiranai
BASIC5000_0124,ipponnotakaikigasuimenninagaikageootsushiteeru,ichiponnotakaikigasuimenninagaikageootsushiteeru,ipponnotakaikigasuimenninagaikageootsushiteeru,ichiponnotakaikigasuimenninagaikageootsushiteeru
BASIC5000_0125,yosanwafuseekakudeshikamohigenjitsutekiniomoeru,yosanwafuseekakudeshikamohigenjitsutekiniomoeru,hadeshikamonieru,yosanwafuseekakudeshikamohigenjitsutekiniomoeru
BASIC5000_0126,imawatashiwafuruutonimuchuuninattekiteeru,imawatakushiwafuruutonimuchuuninattekiteeru,imawatashihafuruutonimuchuuninattekiteeru,imawatakushiwafuruutonimuchuuninattekiteeru
BASIC5000_0127,kakarichoogakyuuniyameteshimattanodewatashigasonoanaoomenakerebanaranakunatta,kakarichoogakyuuniyameteshimattanodewatakushigasonoanaoomenakerebanaranakunatta,kakarichoogakyuuniyameteshimattanodewatashigasonoanaoomenakerebanaranakunatta,kakarichoogakyuuniyameteshimattanodewatakushigasonoanaoomenakerebanaranakunatta
BASIC5000_0128,kakariingaunazuitanodekanojowakogitteokakisoreotewatashita,kakariingaunazuitanodekanojowakogitteokakisoreotewatashita,kakariingaunazuitanodekanojohakogitteokakisoreotewatashita,kakariingaunazuitanodekanojowakogitteokakisoreotewatashita
BASIC5000_0129,saishiwahitobitoodootokutekinitakameyootoshita,saishiwahitobitoodootokutekinitakameyootoshita,saishihahitobitoodootokutekinitakameyootoshita,saishiwahitobitoodootokutekinitakameyootoshita
BASIC5000_0130,hoogekiwamasumasuhageshikunattekitanodewatashitachihashittechikashitsunioriteettanoyo,hoogekiwamasumasuhageshikunattekitanodewatakushitachihashittechikashitsunioriteettanoyo,hoogikihamasumasuhageshikunattekitanodewatashitachihashittechikashitsunioriteettanoyo,hoogekiwamasumasuhageshikunattekitanodewatakushitachihashittechikashitsunioriteettanoyo
BASIC5000_0131,imahitorinoonnanohitogahaitteekimashitayo,imahitorinoonnanohitogahaitteekimashitayo,imahitorinoonnanohitogahaitteekimashitayo,imahitorinoonnanohitogahaitteekimashitayo
BASIC5000_0132,ashiomizunitsuketeyogoreootoshinasai,ashiomizunitsuketeyogoreootoshinasai,ashiomizunitsuketeyogoreootoshinasai,ashiomizunitsuketeyogoreootoshinasai
BASIC5000_0133,fukappatsunakodomowakuusoonosekainitojikomorukeekoogazuttotsuyoi,fukappatsunakodomowakuusoonosekainitojikomorukeekoogazuttotsuyoi,fukappatsunakodomohakuusoonosekainitojikomorukeekoogazuttotsuyoi,fukappatsunakodomowakuusoonosekainitojikomorukeekoogazuttotsuyoi
BASIC5000_0134,gokagetsubunnopirukudasaitoittewakarimashitatoiwareta,kagetsubunnopirukudasaitoittewakarimashitatoiwareta,gokagetsubunnopirukudasaitoittewakarimashitatoiwareta,kagetsubunnopirukudasaitoittewakarimashitatoiwareta
BASIC5000_0135,tsukihigadondonsugiteettagakarenoshoosokuwananimokikoetekonakatta,tsukihigadondonsugiteettagakarenoshoosokuwananmokikoetekonakatta,tsukihingadondonsugiteettagakarenoshoosokuhananimokikoetekonakatta,tsukihigadondonsugiteettagakarenoshoosokuwananmokikoetekonakatta
BASIC5000_0136,chinaminisorewakonohanashinogojitsudannisuruyoteedesu,chinaminisorewakonohanashinogojitsudannisuruyoteedesu,chinaminisorehakonononisurudesu,chinaminisorewakonohanashinogojitsudannisuruyoteedesu
BASIC5000_0137,toojoojinbutsugaumakuwarifurareteeta,toojoojinbutsugaumakuwarifurareteeta,toojoojinbutsugaumakuwarifurareteeta,toojoojinbutsugaumakuwarifurareteeta
BASIC5000_0138,icchidanketsushitenanikaatarashiikotooyaroojanaika,icchidanketsushitenankaatarashiikotooyaroojanaika,icchidanketsushitenanikaatarashiikotooyaroojanaika,icchidanketsushitenankaatarashiikotooyaroojanaika
BASIC5000_0139,kyooshukudesuganigatsunijuunanokanoyakusokuokyanserusasetekudasai,kyooshukudesugagatsukanoyakusokuokyanserusasetekudasai,kyooshikudesuganoyakusokuokyanserusasetekudasai,kyooshukudesugagatsukanoyakusokuokyanserusasetekudasai
BASIC5000_0140,ogenkideosugoshinokototoomoimasu,ogenkideosugoshinokototoomoimasu,ogenkideosugoshinokototoomoimasu,ogenkideosugoshinokototoomoimasu
BASIC5000_0141,kaminarigaimanimoochisoonahageshiiotodegorogorotonatta,kaminarigaimanimoochisoonahageshiiotodegorogorotonatta,kaminarigaimanimoochisoonahageshiiotodegorogorotonatta,kaminarigaimanimoochisoonahageshiiotodegorogorotonatta
BASIC5000_0142,oniisanokokyuusaserutameniishanisonokikaiotsukattemoraitaitoomoimasuka,oanisanokokyuusaserutameniishanisonokikaiotsukattemoraitaitoomoimasuka,osanosaserutameninisonoottemoraitaitoimasuka,oanisanokokyuusaserutameniishanisonokikaiotsukattemoraitaitoomoimasuka
BASIC5000_0143,mamonakufurowakaregahaireruhodonurukunarimashita,mamonakufurowakaregaireruhodonurukunarimashita,mamonakufurohakaregahaireruhodonurukunarimashita,mamonakufurowakaregaireruhodonurukunarimashita
BASIC5000_0144,tsukiryokoonantekatsutewatohoomonaikototokangaerareta,gatsuryokoonantekatsutewatohoomonaikototokangaerareta,tsukiryokoonantekatsutehatohoomonaikototokangaerareta,gatsuryokoonantekatsutewatohoomonaikototokangaerareta
BASIC5000_0145,gomairuwapikunikkunitekishitakyorida,mairuwapikunikkunitekishitakyorida,gomaeruhapikunikkunitekishitakyorida,mairuwapikunikkunitekishitakyorida
BASIC5000_0146,kaminariniodoroitakyookogaorenishigamitsuitekita,kaminariniodoroitakyookogaorenishigamitsuitekita,kaminariniodoroitakyookogaorenishigamitsuitekita,kaminariniodoroitakyookogaorenishigamitsuitekita
BASIC5000_0147,ookamigainuniniteeruyooniobekkatsukaiwatomodachinoyoonimieru,ookamigainuniniteeruyooniobekkatsukaiwatomodachinoyoonimieru,ookamigainuniniteeruyooniobekkatsukaihatomodachinoyoonimieru,ookamigainuniniteeruyooniobekkatsukaiwatomodachinoyoonimieru
BASIC5000_0148,godoruguraishikamochiawaseganai,doruguraishikamochiawaseganai,doruguraishikamochiawaseganai,doruguraishikamochiawaseganai
BASIC5000_0149,bangoookireesappariwasureteshimatta,bangoookireesappariwasureteshimatta,bangookireesappariwasureteshimatta,bangoookireesappariwasureteshimatta
BASIC5000_0150,kenbikyootobooenkyoonochigaigawakarimasuka,kenbikyootobooenkyoonochigaigawakarimasuka,kenbikyootobooenkyoonochigaigawakarimasuka,kenbikyootobooenkyoonochigaigawakarimasuka
BASIC5000_0151,minamiafurikaseefuwamohayakokujinnibyoodoonokoominkenomotomeruundoooyokuseedekinai,minamiafurikaseefuwamohayakokujinnibyoodoonokoominkenomotomeruundoooyokuseedekinai,afurikahamohayaninoomeruodekinai,minamiafurikaseefuwamohayakokujinnibyoodoonokoominkenomotomeruundoooyokuseedekinai
BASIC5000_0152,shikagoikinobinoyoyakushitainodesuga,shikagoikinobinoyoyakushitainodesuga,shikagoikinobinoyuyakushitainodesuga,shikagoikinobinoyoyakushitainodesuga
BASIC5000_0153,mazushiikaratoyuudakedehitookeebetsusurubekidewanai,mazushiikaratoiudakedehitookeebetsusurubekidewanai,mazushiikaratoiudakedeosurubekidehanai,mazushiikaratoiudakedehitookeebetsusurubekidewanai
BASIC5000_0154,saikaihatsuniyottechiikinibenekigashoozuru,saikaihatsuniyottechiikinibenekigashoozuru,saikaihatsuniyottechiikinibenikigashoozuru,saikaihatsuniyottechiikinibenekigashoozuru
BASIC5000_0155,toochakusurumaenieegagahajimatteshimaundeshoone,toochakusurumaenieegagahajimatteshimaundeshoone,toochakusurumaenieegagahajimatteshimaundeshoone,toochakusurumaenieegagahajimatteshimaundeshoone
BASIC5000_0156,warufuzakeosurutoonnanokonikirawareruyo,warufuzakeosurutoonnanokonikirawareruyo,warufuzakeosurutoonnanokonikirawareruyo,warufuzakeosurutoonnanokonikirawareruyo
BASIC5000_0157,sanbanmenikooryosubekijikoowakaapettonojidaiseedearu,banmenikooryosubekijikoowakaapettonojidaiseedearu,nisubekihakaapettonodearu,banmenikooryosubekijikoowakaapettonojidaiseedearu
BASIC5000_0158,ryooshiwatsuriagetasakananoookisaooogesaniitta,ryooshiwatsuriagetasakananoookisaooogesaniitta,ryooshihatsuriagetasakananoookisaooogesaniitta,ryooshiwatsuriagetasakananoookisaooogesaniitta
BASIC5000_0159,ryokakuwahodookyoootsukatterosenowatattekudasai,ryokakuwahodookyoootsukatterosenowatattekudasai,ryokakuhahodookyoootsukatterosenowatattekudasai,ryokakuwahodookyoootsukatterosenowatattekudasai
BASIC5000_0160,akuwaokonauniyasashikutesonokeetaimomugendearu,akuwaokonauniyasashikutesonokeetaimomugendearu,akuhaokonauniyasashikutesonokeetaimomugendearu,akuwaokonauniyasashikutesonokeetaimomugendearu
BASIC5000_0161,juuosoojishiteetaratotsuzenboohatsushiteshimatta,juuosoojishiteetaratotsuzenboohatsushiteshimatta,juuosoojishiteetaratotsuzenboohatsushiteshimatta,juuosoojishiteetaratotsuzenboohatsushiteshimatta
BASIC5000_0162,minshushugidewakokuminwachokusetsuseefunoyakuninoyobu,minshushugidewakokuminwachokusetsuseefunoyakuninoyobu,dehahanoobu,minshushugidewakokuminwachokusetsuseefunoyakuninoyobu
BASIC5000_0163,waruidooroogakungakuntohashitteekujidoosha,waruidooroogakungakuntohashitteekujidoosha,waruidooroogakungakuntohashitteekujidoosha,waruidooroogakungakuntohashitteekujidoosha
BASIC5000_0164,noomintachiwayoiringotofuryoohinosenbetsusuru,noomintachiwayoiringotofuryoohinosenbetsusuru,noomintachihayoiringotofuryoohinosenbetsusuru,noomintachiwayoiringotofuryoohinosenbetsusuru
BASIC5000_0165,ondokuwakarenitottetaihenhonenoorerushigotodeatta,ondokuwakarenitottetaihenhonenoorerushigotodeatta,ondokuhakarenitottetaihenhonenoorerushigotodeatta,ondokuwakarenitottetaihenhonenoorerushigotodeatta
BASIC5000_0166,warukattakeredomoanoteedonaramadamashidatta,warukattakeredomoanoteedonaramadamashidatta,warukattakeredomoanoteedonaramadamashidatta,warukattakeredomoanoteedonaramadamashidatta
BASIC5000_0167,bakusugenshanokenkyuujodeshinyakunoshikengaokonawareta,bakusuharahanokenkyuushodeshinyakunoshikengaokonawareta,bakusunodenogawareta,bakusuharahanokenkyuushodeshinyakunoshikengaokonawareta
BASIC5000_0168,anatamakasenishinaidejibundesekininomotteyattekudasai,anatamakasenishinaidejibundesekininomotteyattekudasai,anatamakasenishinaidedeomotteyattekudasai,anatamakasenishinaidejibundesekininomotteyattekudasai
BASIC5000_0169,baikingunohoogakoronbusuyorisakiniamerikaohakkenshitatoiwareteeru,baikingunohoogakoronbusuyorisakiniamerikaohakkenshitatoiwareteeru,baikingunogakoronbusuyoriniamerikaoshitatowareteeru,baikingunohoogakoronbusuyorisakiniamerikaohakkenshitatoiwareteeru
BASIC5000_0170,kyuuoyoosurukotodakaraisoidekudasai,kyuuoyoosurukotodakaraisoidekudasai,kyuuoyoosurukotodakaraisoidekudasai,kyuuoyoosurukotodakaraisoidekudasai
BASIC5000_0171,bataawaichipondoikuradeurareru,bataawapondoikuradeurareru,bataahapondoikuraderareru,bataawapondoikuradeurareru
BASIC5000_0172,basunobinganakattanodewatashitachiwaekimadezuttoarukanakerebanaranakatta,basunobinganakattanodewatakushitachiwaekimadezuttoarukanakerebanaranakatta,basunobinganakattanodewatashitachihaekimadezuttoarukanakerebanaranakatta,basunobinganakattanodewatakushitachiwaekimadezuttoarukanakerebanaranakatta
BASIC5000_0173,gussurinemuttaatowazuttokibungayoi,gussurinemuttaatowazuttokibungayoi,gussurinemuttaatohazuttokibungayoi,gussurinemuttaatowazuttokibungayoi
BASIC5000_0174,uejinisurukurainaraoboreshindahoogamashida,uejinisurukurainaraoboreshindahoogamashida,uejinisurukurainaraoboreshindahoogamashida,uejinisurukurainaraoboreshindahoogamashida
BASIC5000_0175,baketsunimizuoippaikundemottekinasai,baketsunimizuoippaikundemottekinasai,baketsunimizuoippaikundemottekinasai,baketsunimizuoippaikundemottekinasai
BASIC5000_0176,bagudakanandakawakannaikedokonosofutowachantoogokanai,bagudakanandakawakannaikedokonosofutowachantoogokanai,bagudakanandakawakannaikedokonosofutohachantokanai,bagudakanandakawakannaikedokonosofutowachantoogokanai
BASIC5000_0177,chigaigairoiroarunimokakawarazujoontoanwatomodachidooshideeru,chigaigairoiroarunimokakawarazujoontoanwatomodachidooshideeru,chigaigairoiroarunimokakawarazujoontoanhatomodachidooshideeru,chigaigairoiroarunimokakawarazujoontoanwatomodachidooshideeru
BASIC5000_0178,guzuguzushiteetatamenitakaihoterunihitobantomarazaruoenakunatta,guzuguzushiteetatamenitakaihoteruniichibantomarazaruoenakunatta,guzuguzushiteetatameniihoterunimarazaruonakunatta,guzuguzushiteetatamenitakaihoteruniichibantomarazaruoenakunatta
BASIC5000_0179,sooshikiniwakuroifukuokiteekunogashuukandesu,sooshikiniwakuroifukuokiteekunogashuukandesu,sooshikinihakuroifukuokiteekunogashuukandesu,sooshikiniwakuroifukuokiteekunogashuukandesu
BASIC5000_0180,guaigawarukattakedoshigotoniitta,guaigawarukattakedoshigotoniitta,guaigawarukattakedoshigotoniitta,guaigawarukattakedoshigotoniitta
BASIC5000_0181,daigiminshuseewahitotsunoseejikeetaidearu,taigiminshuseewahitotsunoseejikeetaidearu,hatsunodearu,taigiminshuseewahitotsunoseejikeetaidearu
BASIC5000_0182,yoroiotsuketeeruhitowakorobutoookinaotogasuru,yoroiotsuketeeruhitowakorobutoookinaotogasuru,yoroiotsuketeeruhitohakorobutoookinaotogasuru,yoroiotsuketeeruhitowakorobutoookinaotogasuru
BASIC5000_0183,saibainitekishitadojoooeruniwatagayasanakerebanaranai,saibainitekishitadojooooruniwatagayasanakerebanaranai,saibainitekishitadojoooerunihatagayasanakerebanaranai,saibainitekishitadojooooruniwatagayasanakerebanaranai
BASIC5000_0184,suufunkanojikanosaiteetadakemasuka,suufunkanojikanosaiteetadakemasuka,suufunkanojikanosaiteetadakemasuka,suufunkanojikanosaiteetadakemasuka
BASIC5000_0185,genkinbarainiwajuppaasentowaribikiitashimasu,genkinharainiwawaribikiitashimasu,kenkinbarainihajuppaasentowaribikiitashimasu,genkinharainiwawaribikiitashimasu
BASIC5000_0186,merosuwakesshiteusotsukidewanai,merosuwakesshiteusotsukidewanai,merosuhakeshiteusotsukidehanai,merosuwakeshiteusotsukidewanai
BASIC5000_0187,mishiranuhitogachikayottekitewatashinijikokuotazuneta,mishiranuhitogachikayottekitewatakushinijikokuotazuneta,mishiranuhitogachikayottekitewatashinijikokuotazuneta,mishiranuhitogachikayottekitewatakushinijikokuotazuneta
BASIC5000_0188,meriinonikoyakanakaowakanojonoshiawaseoarawashiteeta,meriinonikoyakanakaowakanojonoshiawaseoarawashiteeta,meriinonikoyakanahanoshiawaseoarawashiteeta,meriinonikoyakanakaowakanojonoshiawaseoarawashiteeta
BASIC5000_0189,mitameniwayasashisoodakedokaretteminnakaragaijuunaigoonokekkoonatafunegoshieetaatoiwareteeruyo,mitameniwayasashisoodakedokaretteminnakarasotojuunaigoonokekkoonatafunegoshieetaatoiwareteeruyo,mitamenihayasashisoodakedokaretteminnakaragaijuunaigoonokekkoonatafunegoshietatoiwareteeruyo,mitameniwayasashisoodakedokaretteminnakarasotojuunaigoonokekkoonatafunegoshieetaatoiwareteeruyo
BASIC5000_0190,memoniwamizuniukaburenshuuosaseruyoonitonagurigakisareteeta,memoniwamizuniukaburenshuuosaseruyoonitonagurigakisareteeta,memonihanikabuosaseruyoonitorikisareteeta,memoniwamizuniukaburenshuuosaseruyoonitonagurigakisareteeta
BASIC5000_0191,meerudeanatatooshaberigashitaiwa,meerudeanatatooshaberigashitaiwa,meerudeanatatooshaberigashitaiwa,meerudeanatatooshaberigashitaiwa
BASIC5000_0192,chijingafuerebafueruhodosoredakeaujikangasukunakunaru,chijingafuerebafueruhodosoredakeaujikangasukunakunaru,chijingafuerebafueruhodosoredakeaujikangasukunakunaru,chijingafuerebafueruhodosoredakeaujikangasukunakunaru
BASIC5000_0193,gokazokumoisshonitsuretekoraretanodesuka,gokazokumoisshonitsuretekoraretanodesuka,gokazokumoisshonitsuretekoraretanodesuka,gokazokumoisshonitsuretekoraretanodesuka
BASIC5000_0194,shoruiwakatteniijiraretakeesekigaatta,shoruiwakatteniijiraretakeesekigaatta,shoruihakatteniijiraretakeesekigaatta,shoruiwakatteniijiraretakeesekigaatta
BASIC5000_0195,menbaanodarekagakiminisanseeshiteemasuka,menbaanodarekagakiminisanseeshiteemasuka,menbaanokaganishiteemasuka,menbaanodarekagakiminisanseeshiteemasuka
BASIC5000_0196,miorosutotakusanbirugamieta,miorosutotakusanbirugamieta,mioorosutotakusanbirugamieta,miorosutotakusanbirugamieta
BASIC5000_0197,arukootosurutokokogazukintoshimasu,arukootosurutokokogazukintoshimasu,arukootosurutokokogazukintoshimasu,arukootosurutokokogazukintoshimasu
BASIC5000_0198,chijiwaatarashiihashinoteepukattooshita,chijiwaatarashiihashinoteepukattooshita,chijihaatarashiihashinoteepukattooshita,chijiwaatarashiihashinoteepukattooshita
BASIC5000_0199,menyuuomiseteetadakemasenka,menyuuomiseteetadakemasenka,menyuuomiseteetadakemasenka,menyuuomiseteetadakemasenka
BASIC5000_0200,medeeagazooonokonsekioyasuurisuru,medeeagazooonokonsekioyasuurisuru,medeeaganoorisuru,medeeagazooonokonsekioyasuurisuru
BASIC5000_0201,giwakuomotanaishinnenwashindashinnendearu,giwakuomotanaishinnenwashindashinnendearu,kiwakuomotanaishinnenhashindashinnendearu,giwakuomotanaishinnenwashindashinnendearu
BASIC5000_0202,messeejiganazekamojibakeshiteetanodeshuufukushiteyomimashita,messeejiganazekamojibakeshiteetanodeshuufukushiteyomimashita,messeejiganazekakeshiteetanodeshitemimashita,messeejiganazekamojibakeshiteetanodeshuufukushiteyomimashita
BASIC5000_0203,kinkyuunobaaiwahyakujuukyuubannidenwashinasai,kinkyuunobaaiwabannidenwashinasai,kinkyuunobaaihabannidenwashinasai,kinkyuunobaaiwabannidenwashinasai
BASIC5000_0204,toshiuenootokonokotachigakareniitsumoitazurabakarishiteeru,toshiuenootokonokotachigakareniitsumoitazurabakarishiteeru,toshiuenootokonokotachigakareniitsumoitazurabakarishiteeru,toshiuenootokonokotachigakareniitsumoitazurabakarishiteeru
BASIC5000_0205,mitesonowakaijoseewaroojinnioikakerareru,mitesonowakaijoseewaroojinnioikakerareru,mitesonowakaijoseeharoojinioikakerareru,mitesonowakaijoseewaroojinnioikakerareru
BASIC5000_0206,aruiteekunosoretomobasudeekuno,aruiteekunosoretomobasudeekuno,aruiteekunosoretomobasudeekuno,aruiteekunosoretomobasudeekuno
BASIC5000_0207,arukimashookasoretomobasudeekimasuka,arukimashookasoretomobasudeekimasuka,arukimashookasoretomobasudeekimasuka,arukimashookasoretomobasudeekimasuka
BASIC5000_0208,hadanoironoikanotowazukarewabanninnogenronnojiyuuoyoogoshita,hadanoironoikanotowazukarewabanninnogenronnojiyuuoyoogoshita,hadanoironoikanotowazukarehabanninnogenronnojiyuuoyoogoshita,hadanoironoikanotowazukarewabanninnogenronnojiyuuoyoogoshita
BASIC5000_0209,zanbiawaafurikanokunidakaraanatagatawakikoogatotemoatsuinodewanaikatoomookamoshiremasenne,zanbiawaafurikanokunidakaraanatakatawakikoogatotemoatsuinodewanaikatoomookamoshiremasenne,zanbiahaafurikanodakaraanatahagatotemoinodehanaikatoukamoshiremasenne,zanbiawaafurikanokunidakaraanatakatawakikoogatotemoatsuinodewanaikatoomookamoshiremasenne
BASIC5000_0210,zaattotakinoyooniamegafuttekita,zaattotakinoyooniamegafuttekita,zaattotakinoyooniamegafuttekita,zaattotakinoyooniamegafuttekita
BASIC5000_0211,zabesutotennirankuinshitakyokuosubeteshookaishimasu,thebestnirankuinshitakyokuosubeteshookaishimasu,zabesutonirankuinshitaosubeteshimasu,thebestnirankuinshitakyokuosubeteshookaishimasu
BASIC5000_0212,kokageniobaasangairunogamieru,kokageniobaasangairunogamieru,kokageniobaasangairunogamieru,kokageniobaasangairunogamieru
BASIC5000_0213,tekisutodeetanogojidatsujioshuusee,tekisutodeetanogojidatsujioshuusee,tekisutodeetanoo,tekisutodeetanogojidatsujioshuusee
BASIC5000_0214,juukimeekaawashookakiniyorubooryokujikennitaisurusekininonogaretekita,juukimeekaawashookakiniyorubooryokujikennitaisurusekininonogaretekita,juukimeekaahashookakiniyorubooryokujikennitaisurusekininonogaretekita,juukimeekaawashookakiniyorubooryokujikennitaisurusekininonogaretekita
BASIC5000_0215,seerenkeppakudekikoetakaregaoshokunankaniteosomeruwakenai,seerenkeppakudekikoetakaregaoshokunankaniteosomeruwakenai,seerenkeppakudekikoetakaregaoshokunankaniteosomeruwakenai,seerenkeppakudekikoetakaregaoshokunankaniteosomeruwakenai
BASIC5000_0216,hadagahiritsukudokorokatsukaumaeyorihadagaanteeshiterundesu,hadagahiritsukudokorokatsukaumaeyorihadagaanteeshiteerundesu,gahiritsukudokorokauyorigashiterundesu,hadagahiritsukudokorokatsukaumaeyorihadagaanteeshiteerundesu
BASIC5000_0217,gendainoshakaimondaiwamasumasufukuzatsukasurukeekoogaaru,gendainoshakaimondaiwamasumasufukuzatsukasurukeekoogaaru,nohamasumasusurugaaru,gendainoshakaimondaiwamasumasufukuzatsukasurukeekoogaaru
BASIC5000_0218,rokugatsunanokawananjigashuugoogaiidesuka,gatsukawaitsugashuugoogaiidesuka,hagagaiidesuka,gatsukawaitsugashuugoogaiidesuka
BASIC5000_0219,nanshuukanmoyoitenkidattaatodeamegafutta,nanshuukanmoyoitenkidattaatodeamegafutta,nanshuukanmoyoitenkidattaatodeamegafutta,nanshuukanmoyoitenkidattaatodeamegafutta
BASIC5000_0220,maiasakanarazutenkiyohooomitekaragaishutsushimasu,maiasakanarazutenkiyohooomitekaragaishutsushimasu,maiasakanarazutenkyoohooomitekaragaishitsushimasu,maiasakanarazutenkiyohooomitekaragaishutsushimasu
BASIC5000_0221,sugimotofujinwaitsumokogireenakimonookiteeru,sugimotofujinwaitsumoshookireenakimonookiteeru,sugimotofujinhaitsumokogireenakimonookiteeru,sugimotofujinwaitsumoshookireenakimonookiteeru
BASIC5000_0222,kugatsunifukugakusurukotookarewasetsubooshita,gatsunifukugakusurukotookarewasetsubooshita,nisurukotoohashita,gatsunifukugakusurukotookarewasetsubooshita
BASIC5000_0223,jariosementodekatameruhitsuyoogaaru,jariosementodekatameruhitsuyoogaaru,jariosementodekatameruhitsuyoogaaru,jariosementodekatameruhitsuyoogaaru
BASIC5000_0224,fukuroowatotemokashikoitokangaerareteeru,fukuroowatotemokashikoitokangaerareteeru,fukuroohatotemokashikoitokangaerareteeru,fukuroowatotemokashikoitokangaerareteeru
BASIC5000_0225,menzendehitoohomeruyoonahitooshinyoosuruna,menzendehitoohomeruyoonahitooshinyoosuruna,menzendehitoohomeruyoonahitooshinyoosuruna,menzendehitoohomeruyoonahitooshinyoosuruna
BASIC5000_0226,chikyuunohyoomennoyakusanbunnoichigarikuchidearu,chikyuunohyoomennoyakubunnogarikuchidearu,chikyuunohyoomennoyakusanbunnoichigarikuchidearu,chikyuunohyoomennoyakubunnogarikuchidearu
BASIC5000_0227,hizashiwaatsukutekarerawatsukareteemashita,hizashiwaatsukutekarerawatsukareteemashita,hizashihaatsukutekarerahatsukareteemashita,hizashiwaatsukutekarerawatsukareteemashita
BASIC5000_0228,gosenenarebakonojishookaunonijuubunda,enarebakonojishookaunonijuubunda,gosenenarebakonojishookaunonijuubunda,enarebakonojishookaunonijuubunda
BASIC5000_0229,kokunaishijoonokyoosoowasusamajiimonodesu,kokunaishijoonokyoosoowasusamajiimonodesu,nohasusamajiimonodesu,kokunaishijoonokyoosoowasusamajiimonodesu
BASIC5000_0230,hirosehakasewaeezunokenkyuunitazusawatteeru,hirosehakasewaeezunokenkyuunitazusawatteeru,hirosehakasehaeezunokenkyoonitazusawatteeru,hirosehakasewaeezunokenkyuunitazusawatteeru
BASIC5000_0231,yoseewajibunnorisoonotsuikyuunitsuiyashitai,yoseewajibunnorisoonotsuikyuunitsuiyashitai,yoseehajibunnorisoonotsuikyuunitsuiyashitai,yoseewajibunnorisoonotsuikyuunitsuiyashitai
BASIC5000_0232,kurumaisunojoseesuupaanitatekomoru,kurumaisunojoseesuupaanitatekomoru,kurumaisunojoseesuupaanitatekomoru,kurumaisunojoseesuupaanitatekomoru
BASIC5000_0233,hahagachuushokuniwatashitachinichiizusandootsukuttekureta,hahagachuushokuniwatakushitachinichiizusandootsukuttekureta,hahagachuushokuniwatashitachinichiizusandootsukuttekureta,hahagachuushokuniwatakushitachinichiizusandootsukuttekureta
BASIC5000_0234,ichigatsusanjuunichisanjuuichinichiwasooshikinotameyasumimasu,gatsukakawasooshikinotameyasumimasu,hanotamemimasu,gatsukakawasooshikinotameyasumimasu
BASIC5000_0235,hahawawatashinonozomumonowanandemoiwanakutemokanaetekureru,hahawawatakushinonozomumonowanandemoiwanakutemokanaetekureru,hahahawatashinonozomumonohanandemoiwanakutemokanaetekureru,hahawawatakushinonozomumonowanandemoiwanakutemokanaetekureru
BASIC5000_0236,hahanikonoseetaaotsukurottemoratta,hahanikonoseetaaotsukurottemoratta,hahanikonoseetaotsukurottemoratta,hahanikonoseetaaotsukurottemoratta
BASIC5000_0237,otayoritanoshiminiomachishiteorimasu,otayoritanoshiminiomachishiteorimasu,otayorishiminiochishiteorimasu,otayoritanoshiminiomachishiteorimasu
BASIC5000_0238,seeooshokokuwakonomondainitaisurunipponnoshiseeohageshikuhinanshiteemasu,seeooshokokuwakonomondainitaisurunipponnoshiseeohageshikuhinanshiteemasu,hakononisurunooshikushiteemasu,seeooshokokuwakonomondainitaisurunipponnoshiseeohageshikuhinanshiteemasu
BASIC5000_0239,nukarundamichideashiotoraretekorobisooninatta,nukarundamichideashiotoraretekorobisooninatta,nukarundamichideashiotoraretekorobisooninatta,nukarundamichideashiotoraretekorobisooninatta
BASIC5000_0240,fuhenfutoonoseeshindenadotokakkotsuketeerukedokekkyokunotokorojibunnoikenomotteenaidakejanaino,fuhenfutoonoseeshindenadotokakkotsuketeerukedokekkyokunotokorojibunnoikenomotteenaidakejanaino,fuhenfutoonoseeshindenadotokakkotsuketeerukedokekkyokunotokorojibunnoikenomotteenaidakejanaino,fuhenfutoonoseeshindenadotokakkotsuketeerukedokekkyokunotokorojibunnoikenomotteenaidakejanaino
